,timestamp,question_title,chapter_id,correct_answer,distractor_1,distractor_2,distractor_3,source,author
105,10/04/2024 23:22:42,"According to the law of ________, we are more likely to perceive smoothly flowing lines rather than choppy or jagged lines.",5,good continuation,closure,proximity,similarity,Book,
106,10/04/2024 23:22:42,The main point of focus in a visual display is known as the ________.,5,figure,closure,perceptual set,ground,Book,
107,10/04/2024 23:23:26,Which of the following is an example of a reflex that occurs at some point in the development of a human being?,6,infant sucking on a nipple,child riding a bike,teen socializing,toddler walking,Book,
108,10/04/2024 23:23:26,Learning is best defined as a relatively permanent change in behavior that ________.,6,occurs as a result of experience,is innate,is found only in humans,occurs by observing others,Book,
109,10/04/2024 23:23:26,Two forms of associative learning are ________ and ________.,6,classical conditioning; operant conditioning,classical conditioning; Pavlovian conditioning,operant conditioning; observational learning,operant conditioning; learning conditioning,Book,
110,10/04/2024 23:23:26,In ________ the stimulus or experience occurs before the behavior and then gets paired with the behavior.,6,classical conditioning,associative learning,observational learning,operant conditioning,Book,
111,10/04/2024 23:23:26,A stimulus that does not initially elicit a response in an organism is a(n) ________.,6,neutral stimulus,unconditioned stimulus,conditioned stimulus,unconditioned response,Book,
112,10/04/2024 23:23:26,"In Watson and Rayner’s experiments, Little Albert was conditioned to fear a white rat, and then he began to be afraid of other furry white objects. This demonstrates ________.",6,stimulus generalization,higher order conditioning,acquisition,stimulus discrimination,Book,
113,10/04/2024 23:23:44,Extinction occurs when ________.,6,the conditioned stimulus is presented repeatedly without being paired with an unconditioned stimulus,the unconditioned stimulus is presented repeatedly without being paired with a conditioned stimulus,the neutral stimulus is presented repeatedly without being paired with an unconditioned stimulus,the neutral stimulus is presented repeatedly without being paired with a conditioned stimulus,Book,
114,10/04/2024 23:23:44,"In Pavlov’s work with dogs, the psychic secretions were ________.",6,conditioned responses,unconditioned responses,unconditioned stimuli,conditioned stimuli,Book,
115,10/04/2024 23:23:44,________ is when you take away a pleasant stimulus to stop a behavior.,6,negative punishment,positive reinforcement,negative reinforcement,positive punishment,Book,
116,10/04/2024 23:24:08,Which of the following is not an example of a primary reinforcer?,6,money,food,water,sex,Book,
117,10/04/2024 23:24:08,Rewarding successive approximations toward a target behavior is ________.,6,shaping,extinction,positive reinforcement,negative reinforcement,Book,
118,10/04/2024 23:24:08,Slot machines reward gamblers with money according to which reinforcement schedule?,6,variable ratio,fixed ratio,fixed interval,variable interval,Book,
119,10/04/2024 23:24:08,The person who performs a behavior that serves as an example is called a ________.,6,model,teacher,instructor,coach,Book,
120,10/04/2024 23:24:08,"In Bandura’s Bobo doll study, when the children who watched the aggressive model were placed in a room with the doll and other toys, they ________.",6,kicked and threw the doll,ignored the doll,played nicely with the doll,played with tinker toys,Book,
121,10/04/2024 23:24:08,Which is the correct order of steps in the modeling process?,6,"attention, retention, reproduction, motivation","motivation, attention, reproduction, retention","attention, motivation, retention, reproduction","motivation, attention, retention, reproduction",Book,
122,10/04/2024 23:24:08,Who proposed observational learning?,6,Albert Bandura,Ivan Pavlov,John Watson,B. F. Skinner,Book,
123,10/04/2024 23:24:42,Cognitive psychology is the branch of psychology that focuses on the study of ________.,7,human thinking,human development,human behavior,human society,Book,
124,10/04/2024 23:24:42,Which of the following is an example of a prototype for the concept of leadership on an athletic team?,7,the team captain,the equipment manager,the scorekeeper,the quietest member of the team,Book,
125,10/04/2024 23:24:42,Which of the following is an example of an artificial concept?,7,a triangle’s area,mammals,gemstones,teachers,Book,
126,10/04/2024 23:24:42,An event schema is also known as a cognitive ________.,7,script,stereotype,concept,prototype,Book,
127,10/04/2024 23:24:42,________ provides general principles for organizing words into meaningful sentences.,7,Syntax,Linguistic determinism,Lexicon,Semantics,Book,
128,10/04/2024 23:24:42,________ are the smallest unit of language that carry meaning.,7,Morphemes,Lexicon,Phonemes,Syntax,Book,
129,10/04/2024 23:25:09,The meaning of words and phrases is determined by applying the rules of ________.,7,semantics,lexicon,phonemes,overgeneralization,Book,
130,10/04/2024 23:25:09,________ is (are) the basic sound units of a spoken language.,7,Phonemes,Syntax,Morphemes,Grammar,Book,
131,10/04/2024 23:25:09,A specific formula for solving a problem is called ________.,7,an algorithm,a heuristic,a mental set,trial and error,Book,
132,10/04/2024 23:25:09,A mental shortcut in the form of a general problem-solving framework is called ________.,7,a heuristic,an algorithm,a mental set,trial and error,Book,
133,10/04/2024 23:25:09,Which type of bias involves becoming fixated on a single trait of a problem?,7,anchoring bias,confirmation bias,representative bias,availability bias,Book,
134,10/04/2024 23:25:09,Which type of bias involves relying on a false stereotype to make a decision?,7,representative bias,anchoring bias,confirmation bias,availability bias,Book,
135,10/04/2024 23:25:09,Fluid intelligence is characterized by ________.,7,being able to see complex relationships and solve problems,being able to recall information,being able to create new products,being able to understand and communicate with different cultures,Book,
136,10/04/2024 23:25:09,Which of the following is not one of Gardner’s Multiple Intelligences?,7,creative,spatial,linguistic,musical,Book,
137,10/04/2024 23:26:13,Which theorist put forth the triarchic theory of intelligence?,7,Sternberg,Goleman,Gardner,Steitz,Book,
138,10/04/2024 23:26:13,"When you are examining data to look for trends, which type of intelligence are you using most?",7,analytical,practical,emotional,creative,Book,
139,10/04/2024 23:26:13,In order for a test to be normed and standardized it must be tested on ________.,7,a representative sample,a group of same-age peers,children with mental disabilities,children of average intelligence,Book,
140,10/04/2024 23:26:13,The mean score for a person with an average IQ is ________.,7,100,70,130,85,Book,
141,10/04/2024 23:26:13,Who developed the IQ test most widely used today?,7,David Wechsler,Sir Francis Galton,Alfred Binet,Louis Terman,Book,
142,10/04/2024 23:26:13,The DSM-5 now uses ________ as a diagnostic label for what was once referred to as mental retardation.,7,intellectual disability,autism and developmental disabilities,lowered intelligence,cognitive disruption,Book,
143,10/04/2024 23:26:13,Where does high intelligence come from?,7,both genetics and environment,genetics,environment,neither genetics nor environment,Book,
144,10/04/2024 23:26:13,Arthur Jensen believed that ________.,7,genetics was solely responsible for intelligence,environment was solely responsible for intelligence,intelligence level was determined by race,IQ tests do not take socioeconomic status into account,Book,
145,10/04/2024 23:26:30,What is a learning disability?,7,a neurological disorder,a developmental disorder,an emotional disorder,an intellectual disorder,Book,
146,10/04/2024 23:26:30,Which of the following statements is true?,7,There are many factors working together to influence an individual’s intelligence level.,Poverty always affects whether individuals are able to reach their full intellectual potential.,An individual’s intelligence is determined solely by the intelligence levels of his siblings.,The environment in which an individual is raised is the strongest predictor of her future intelligence.,Book,
147,10/04/2024 23:27:05,"________ is a memory store with a phonological loop, visuospatial sketchpad, episodic buffer, and a central executive.",8,working memory,sensory memory,episodic memory,implicit memory,Book,
148,10/04/2024 23:27:05,The storage capacity of long-term memory is ________.,8,essentially limitless,one or two bits of information,"seven bits, plus or minus two",limited,Book,
149,10/04/2024 23:27:05,The three functions of memory are ________.,8,"encoding, storage, and retrieval","automatic processing, effortful processing, and storage","encoding, processing, and storage","automatic processing, effortful processing, and retrieval",Book,
150,10/04/2024 23:27:05,This physical trace of memory is known as the ________.,8,engram,Lashley effect,Deese-Roediger-McDermott Paradigm,flashbulb memory effect,Book,
151,10/04/2024 23:27:05,An exceptionally clear recollection of an important event is a (an) ________.,8,flashbulb memory,engram,arousal theory,equipotentiality hypothesis,Book,
152,10/04/2024 23:27:34,________ is when our recollections of the past are done in a self-enhancing manner.,8,egocentric bias,stereotypical bias,hindsight bias,enhancement bias,Book,
153,10/04/2024 23:27:34,Tip-of-the-tongue phenomenon is also known as ________.,8,blocking,persistence,misattribution,transience,Book,
154,10/04/2024 23:27:34,"The formulation of new memories is sometimes called ________, and the process of bringing up old memories is called ________.",8,reconstruction; construction,construction; reconstruction,production; reproduction,reproduction; production,Book,
155,10/04/2024 23:27:34,"When you are learning how to play the piano, the statement “Every good boy does fine” can help you remember the notes E, G, B, D, and F for the lines of the treble clef. This is an example of a (an) ________.",8,acrostic,jingle,acronym,acoustic,Book,
156,10/04/2024 23:27:34,"According to a study by Yogo and Fujihara (2008), if you want to improve your short-term memory, you should spend time writing about ________.",8,your best possible future self,a traumatic life experience,a trivial topic,your grocery list,Book,
157,10/04/2024 23:27:34,The self-referencing effect refers to ________.,8,making the material you are trying to memorize personally meaningful to you,making a phrase of all the first letters of the words you are trying to memorize,making a word formed by the first letter of each of the words you are trying to memorize,saying words you want to remember out loud to yourself,Book,
158,10/04/2024 23:27:34,Memory aids that help organize information for encoding are ________.,8,mnemonic devices,memory-enhancing strategies,elaborative rehearsal,effortful processing,Book,
159,10/04/2024 23:28:17,"The view that development is a cumulative process, gradually adding to the same type of skills is known as ________.",9,continuous development,nature,nurture,discontinuous development,Book,
160,10/04/2024 23:28:17,Which of the following is not one of the domains studied by developmental psychologists?,9,psychological,cognitive,physical,psychosocial,Book,
161,10/04/2024 23:28:17,How is lifespan development defined?,9,The study of how we grow and change from conception to death.,The study of how we grow and change in infancy and childhood.,"The study of physical, cognitive, and psychosocial growth in children.","The study of emotions, personality, and social relationships.",Book,
162,10/04/2024 23:28:17,"The idea that even if something is out of sight, it still exists is called ________.",9,object permanence,egocentrism,conservation,reversibility,Book,
163,10/04/2024 23:28:17,Which theorist proposed that moral thinking proceeds through a series of stages?,9,Lawrence Kohlberg,Sigmund Freud,Erik Erikson,John Watson,Book,
164,10/04/2024 23:28:17,"According to Erikson’s theory of psychosocial development, what is the main task of the adolescent?",9,forming an identity,developing autonomy,feeling competent,forming intimate relationships,Book,
165,10/04/2024 23:28:17,Which of the following is the correct order of prenatal development?,9,"d. zygote, embryo, fetus","a. zygote, fetus, embryo","b. fetus, embryo, zygote","c. fetus, zygote, embryo",Book,
166,10/04/2024 23:28:51,The time during fetal growth when specific parts or organs develop is known as ________.,9,critical period,mitosis,conception,pregnancy,Book,
167,10/04/2024 23:28:51,What begins as a single-cell structure that is created when a sperm and egg merge at conception?,9,zygote,embryo,fetus,infant,Book,
168,10/04/2024 23:28:51,Using scissors to cut out paper shapes is an example of ________.,9,fine motor skills,gross motor skills,large motor skills,small motor skills,Book,
169,10/04/2024 23:28:51,The child uses the parent as a base from which to explore her world in which attachment style?,9,secure,insecure avoidant,insecure ambivalent-resistant,disorganized,Book,
170,10/04/2024 23:28:51,The frontal lobes become fully developed ________.,9,by 25 years old,at birth,at the beginning of adolescence,at the end of adolescence,Book,
171,10/04/2024 23:28:51,Who created the very first modern hospice?,9,Cicely Saunders,Elizabeth Kübler-Ross,Florence Wald,Florence Nightingale,Book,
172,10/04/2024 23:28:51,Which of the following is the order of stages in Kübler-Ross’s five-stage model of grief?,9,"denial, bargaining, anger, depression, acceptance","anger, depression, bargaining, acceptance, denial","denial, anger, bargaining, depression, acceptance","anger, acceptance, denial, depression, bargaining",Book,
173,10/04/2024 23:29:31,Need for ________ refers to maintaining positive relationships with others.,10,affiliation,achievement,intimacy,power,Book,
174,10/04/2024 23:29:31,________ proposed the hierarchy of needs.,10,Abraham Maslow,William James,David McClelland,Albert Bandura,Book,
175,10/04/2024 23:29:31,________ is an individual’s belief in her capability to complete some task.,10,self-efficacy,physiological needs,self-esteem,self-actualization,Book,
176,10/04/2024 23:29:31,What type of motivation is Carl exhibiting by mowing the yard for $20?,10,extrinsic,intrinsic,drive,biological,Book,
177,10/04/2024 23:29:31,"According to your reading, nearly ________ of the adult population in the United States can be classified as obese.",10,one third,one half,one fourth,one fifth,Book,
178,10/04/2024 23:29:31,________ is a chemical messenger secreted by fat cells that acts as an appetite suppressant.,10,leptin,orexin,angiotensin,ghrelin,Book,
179,10/04/2024 23:30:26,________ is characterized by episodes of binge eating followed by attempts to compensate for the excessive amount of food that was consumed.,10,bulimia nervosa,Prader-Willi syndrome,morbid obesity,anorexia nervosa,Book,
180,10/04/2024 23:30:26,"In order to be classified as morbidly obese, an adult must have a BMI of ________.",10,40 or more,less than 25,25–29.9,30–39.9,Book,
181,10/04/2024 23:30:26,"Animal research suggests that in male rats the ________ is critical for the ability to engage in sexual behavior, but not for the motivation to do so.",10,medial preoptic area of the hypothalamus,nucleus accumbens,amygdala,hippocampus,Book,
182,10/04/2024 23:30:26,"During the ________ phase of the sexual response cycle, individuals experience rhythmic contractions of the pelvis that are accompanied by uterine contractions and ejaculation.",10,orgasm,excitement,plateau,resolution,Book,
183,10/04/2024 23:30:26,Which of the following findings was not a result of the Kinsey study?,10,Sexual desire and sexual ability can be separate functions.,Masturbation has no adverse consequences.,Females enjoy sex as much as males.,Sexual acts between members of the same gender are fairly common.,Book,
